"name","id","tags","state_breakdown","waste_percentage","machine_type","coal_overhead","petroleum_overhead","natural_gas_overhead","nuclear_overhead","solar/pv_overhead","biomass_overhead","wind_overhead","hydroelectric_overhead","geothermal_overhead"
"other wood products",1027,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff-make"":0}","",0,0,0,0,0,0,0,0,0,"",""
"reconstituted wood products",1026,"{""mecs"":0,""naics"":0,""manufacturing"":0}","","",0,0,0,0,0,0,0,0,0,""
"sawmills (passthrough1)",1024,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff-make"":0}","",0,0,0,0,0,0,0,0,0,"",""
"veneer, plywood, and engineered woods (passthrough1)",1025,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff-make"":0}","",0,0,0,0,0,0,0,0,0,"",""
"other wood products (passthrough1)",1027,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff-make"":0}","",0,0,0,0,0,0,0,0,0,"",""
"paper",1028,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff"":null,""transport"":null}","",0,0,0,0,0,0,0,0,0,"",""
"pulp mills",1029,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff-make"":0}","",0,0,0,0,0,0,0,0,0,"",""
"paper mills, except newsprint",1030,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff-make"":0}","",0,0,0,0,0,0,0,0,0,"",""
"newsprint mills",1031,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff-make"":0}","",0,0,0,0,0,0,0,0,0,"",""
"paperboard mills",1032,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff-make"":0}","",0,0,0,0,0,0,0,0,0,"",""
"printing and related support",1033,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff"":0}","",0,0,0,0,0,0,0,0,0,"",""
"petroleum and coal products",1034,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff"":0}","",0,0,0,0,0,0,0,0,0,"",""
"petroleum refineries",1035,"{""mecs"":0,""naics"":0,""manufacturing"":0,""fossil-production"":0}","",0,0,"1.; Oil:.98",0,0,0,0,0,0,"",""
"asphalt paving mixture and block",1036,"{""mecs"":0,""naics"":0,""manufacturing"":0,""roads"":0}","",0,0,0,0,0,0,0,0,0,"",""
"asphalt shingle and coating materials",1037,"{""mecs"":0,""naics"":0,""manufacturing"":0}","","",0,0,0,0,0,0,0,0,0,""
"other petroleum and coal products",1038,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0,0,0,0,0,0,0,0,0,"",""
